Title,Price,URL,Image
"Giorgio Armani Acqua di Gio Profondo Parfum","3,990,000₫","/products/giorgio-armani-acqua-di-gio-profondo-parfum","https://cdn.hstatic.net/products/1000340570/giorgio-armani-acqua-di-gio-profondo-parfum_5e19a06b2d424cd3897cbb91efd35f3e_grande.jpg"
"Prada Paradoxe Virtual Flower","4,280,000₫","/products/prada-paradoxe-virtual-flower","https://cdn.hstatic.net/products/1000340570/prada-paradoxe-virtual-flower_541b13edf4a34a60861019499d10ade8_grande.jpg"
"Prada Paradigme Eau De Parfum","3,990,000₫","/products/prada-paradigme-eau-de-parfum","https://cdn.hstatic.net/products/1000340570/prada-paradigme-eau-de-parfum_3caa2b5fb5bd45048cfa3d6442edbbdc_grande.jpg"
"MCM Diamond Eau De Parfum","2,560,000₫","/products/mcm-diamond-eau-de-parfum","https://cdn.hstatic.net/products/1000340570/mcm-diamond_16217897c5fb41e1a6e87c68093dde02_grande.jpg"
"Valentino Uomo Born In Roma The Gold","3,050,000₫","/products/valentino-uomo-born-in-roma-the-gold","https://cdn.hstatic.net/products/1000340570/valentino-uomo-born-in-roma-the-gold_7ad7295be76449648c8769c80d7e313f_grande.jpg"
"Prada Paradoxe Intense","4,380,000₫","/products/prada-paradoxe-intense","https://cdn.hstatic.net/products/1000340570/prada-paradoxe-intense_9ce01471e3dc45ed94342f1e445ba687_grande.jpg"
"Giorgio Armani Acqua di Gio Profondo Parfum","3,990,000₫","/products/giorgio-armani-acqua-di-gio-profondo-parfum","https://cdn.hstatic.net/products/1000340570/giorgio-armani-acqua-di-gio-profondo-parfum_5e19a06b2d424cd3897cbb91efd35f3e_grande.jpg"
"Valentino Uomo Born In Roma Green Stravaganza","3,050,000₫","/products/valentino-uomo-born-in-roma-green-stravaganza","https://cdn.hstatic.net/products/1000340570/valentino-uomo-born-in-roma-green-stravaganza_05b3367a826944f9bb71bdfd387d7ead_grande.jpg"
"Valentino Donna Born In Roma Green Stravaganza","3,980,000₫","/products/valentino-donna-born-in-roma-green-stravaganza","https://cdn.hstatic.net/products/1000340570/valentino-donna-born-in-roma-green-stravaganza_c7c83cf5b0304db9b18424a4f1a08f89_grande.jpg"
"Prada Paradoxe Virtual Flower","4,280,000₫","/products/prada-paradoxe-virtual-flower","https://cdn.hstatic.net/products/1000340570/prada-paradoxe-virtual-flower_541b13edf4a34a60861019499d10ade8_grande.jpg"
"Prada Paradigme Eau De Parfum","3,990,000₫","/products/prada-paradigme-eau-de-parfum","https://cdn.hstatic.net/products/1000340570/prada-paradigme-eau-de-parfum_3caa2b5fb5bd45048cfa3d6442edbbdc_grande.jpg"
"MCM Diamond Eau De Parfum","2,560,000₫","/products/mcm-diamond-eau-de-parfum","https://cdn.hstatic.net/products/1000340570/mcm-diamond_16217897c5fb41e1a6e87c68093dde02_grande.jpg"
"Valentino Uomo Born In Roma The Gold","3,050,000₫","/products/valentino-uomo-born-in-roma-the-gold","https://cdn.hstatic.net/products/1000340570/valentino-uomo-born-in-roma-the-gold_7ad7295be76449648c8769c80d7e313f_grande.jpg"
"Prada Paradoxe Intense","4,380,000₫","/products/prada-paradoxe-intense","https://cdn.hstatic.net/products/1000340570/prada-paradoxe-intense_9ce01471e3dc45ed94342f1e445ba687_grande.jpg"
"Giorgio Armani Acqua di Gio Profondo Parfum","3,990,000₫","/products/giorgio-armani-acqua-di-gio-profondo-parfum","https://cdn.hstatic.net/products/1000340570/giorgio-armani-acqua-di-gio-profondo-parfum_5e19a06b2d424cd3897cbb91efd35f3e_grande.jpg"
"Valentino Uomo Born In Roma Green Stravaganza","3,050,000₫","/products/valentino-uomo-born-in-roma-green-stravaganza","https://cdn.hstatic.net/products/1000340570/valentino-uomo-born-in-roma-green-stravaganza_05b3367a826944f9bb71bdfd387d7ead_grande.jpg"
"Valentino Donna Born In Roma Green Stravaganza","3,980,000₫","/products/valentino-donna-born-in-roma-green-stravaganza","https://cdn.hstatic.net/products/1000340570/valentino-donna-born-in-roma-green-stravaganza_c7c83cf5b0304db9b18424a4f1a08f89_grande.jpg"
"Prada Paradoxe Virtual Flower","4,280,000₫","/products/prada-paradoxe-virtual-flower","https://cdn.hstatic.net/products/1000340570/prada-paradoxe-virtual-flower_541b13edf4a34a60861019499d10ade8_grande.jpg"
